AI소프트웨어학과|밑바닥부터 시작하는 딥러닝|수식보다 코드로 신경망을 직접 만들어보며 원리를 익히는 입문서입니다.
AI소프트웨어학과|클린 코드|읽기 좋은 코드가 왜 중요한지 사례로 알려줍니다. 캡스톤 시작 전에 보면 좋습니다.
AI소프트웨어학과|파이썬 머신러닝 완벽 가이드|사이킷런 기반으로 전처리부터 모델 평가까지 실습 위주로 다룹니다.
AI소프트웨어학과|이펙티브 자바|자바를 이미 써봤다면 다음 단계로 넘어가게 해주는 책입니다.
컴퓨터공학과|운영체제 아주 쉬운 세 가지 이야기|가상화 병행성 영속성 세 축으로 운영체제를 풀어냅니다. 무료 공개본도 있습니다.
컴퓨터공학과|컴퓨터 네트워킹 하향식 접근|응용 계층부터 내려오는 구성이라 처음 배우기에 부담이 적습니다.
컴퓨터공학과|알고리즘 문제 해결 전략|코딩테스트 준비의 고전입니다. 분량이 많으니 목차를 골라 보세요.
컴퓨터공학과|데이터베이스 시스템 개념|정규화와 트랜잭션 부분만 봐도 전공 시험에 큰 도움이 됩니다.
물리학과|파인만의 물리학 강의|물리를 왜 배우는지 다시 생각하게 해주는 강의록입니다.
물리학과|일반물리학 핸드북|실험 보고서 쓸 때 옆에 두고 참고하기 좋은 정리서입니다.
물리학과|처음 만나는 양자역학|수식 부담을 줄이고 개념 흐름부터 잡아주는 입문서입니다.
물리학과|고전역학|해석역학으로 넘어가기 전에 반드시 거쳐야 하는 표준 교재입니다.
